ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
376980,원티드랩,KOSDAQ,기술성장기업부,14760,-450,-2.96,15250,15300,14690,0,1678179600,1.39E+11,9
122830,원포유,KONEX,일반기업부,1800,0,0,0,0,0,0,0,58953573000,33
8370,원풍,KOSDAQ,우량기업부,5210,-40,-0.76,5290,5290,5190,0,21415320,62520000000,12
8290,원풍물산,KOSDAQ,중견기업부,887,-13,-1.44,900,902,877,0,65730701,36095293273,41
101160,월덱스,KOSDAQ,우량기업부,20850,-200,-0.95,21050,21100,20700,0,398182400,3.44E+11,17
336060,웨이버스,KOSDAQ,벤처기업부,2450,80,3.38,2410,2560,2380,12,30058942570,1.16E+11,47
95270,웨이브일렉트로,KOSDAQ,벤처기업부,5260,20,0.38,5290,5290,5160,0,20685590,78748806560,15
10600,웰바이오텍,KOSPI,,1120,-2,-0.18,1122,1130,1111,0,104311064,74403956480,66
65950,웰크론,KOSDAQ,우량기업부,3320,-5,-0.15,3325,3345,3310,0,242086625,93727922640,28
76080,웰크론한텍,KOSDAQ,중견기업부,4895,-55,-1.11,4935,4950,4875,0,969095930,1.09E+11,22
196700,웹스,KOSDAQ,벤처기업부,3465,75,2.21,3410,3470,3355,0,604101535,49771758960,14
69080,웹젠,KOSDAQ GLOBAL,우량기업부,19030,260,1.39,18720,19410,18600,0,1737533250,6.72E+11,35
53580,웹케시,KOSDAQ,우량기업부,15980,40,0.25,16020,16040,15920,0,88922280,2.20E+11,14
71460,위니아,KOSDAQ,우량기업부,2610,75,2.96,2555,2650,2505,0,930345345,93874639950,36
377460,위니아에이드,KOSDAQ,중견기업부,6740,130,1.97,6590,6790,6540,0,944499110,1.04E+11,15
44340,위닉스,KOSDAQ,우량기업부,13500,-160,-1.17,13660,13670,13350,0,245570330,2.41E+11,18
330350,위더스제약,KOSDAQ,우량기업부,9400,-30,-0.32,9500,9500,9330,0,268786670,1.24E+11,13
348350,위드텍,KOSDAQ,우량기업부,12140,70,0.58,12060,12180,11990,0,110855990,1.24E+11,10
112040,위메이드,KOSDAQ,우량기업부,43700,4550,11.62,39550,46050,39300,4,1.82E+11,1.48E+12,34
101730,위메이드맥스,KOSDAQ,중견기업부,12570,990,8.55,11730,13400,11680,3,40947059270,4.19E+11,33
123420,위메이드플레이,KOSDAQ,우량기업부,14830,630,4.44,14220,15500,14220,0,7448408290,1.70E+11,11
65370,위세아이텍,KOSDAQ,벤처기업부,16430,-260,-1.56,16590,16630,15820,0,2776171750,1.08E+11,7
140660,위월드,KONEX,일반기업부,1500,0,0,0,0,0,0,0,3730878000,2
38620,위즈코프,KOSDAQ,중견기업부,880,-5,-0.56,885,889,876,0,60489282,58560889200,67
299900,위지윅스튜디오,KOSDAQ,중견기업부,20100,530,2.71,19880,20750,19580,1,16643407250,8.60E+11,43
36090,위지트,KOSDAQ,중견기업부,785,-2,-0.25,794,797,781,0,234701467,80836318570,103
136540,윈스,KOSDAQ,우량기업부,13550,50,0.37,13500,13560,13400,0,162998990,1.88E+11,14
320000,윈텍,KOSDAQ,중견기업부,4015,-115,-2.78,4100,4100,3940,0,907831000,74274079220,18
97800,윈팩,KOSDAQ,중견기업부,1325,17,1.3,1317,1340,1298,0,217679129,78949457200,60
192390,윈하이텍,KOSDAQ,중견기업부,3475,-15,-0.43,3525,3530,3440,0,81808710,37032713600,11
313760,윌링스,KOSDAQ,중견기업부,7680,30,0.39,7690,7700,7600,0,77707670,43681282560,6
8600,윌비스,KOSPI,,720,-1,-0.14,721,721,712,0,28068429,48409948080,67
335870,윙스풋,KOSDAQ,중견기업부,3330,75,2.3,3255,3345,3225,0,449383775,51101876970,15
900340,윙입푸드,KOSDAQ,외국기업(소속부없음),1049,-3,-0.29,1065,1065,1046,0,111074136,50324125972,48
33270,유나이티드제약,KOSPI,,23350,-250,-1.06,23550,23650,23300,0,316018400,3.79E+11,16
14830,유니드,KOSPI,,80600,-1700,-2.07,82700,82900,80500,0,1765524700,5.45E+11,7
