ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
60310,3S,KOSDAQ,중견기업부,2365,40,1.72,2335,2455,2335,0,600557925,1.15E+11,49
95570,AJ네트웍스,KOSPI,,6710,10,0.15,6700,6840,6650,0,749172040,3.14E+11,47
6840,AK홀딩스,KOSPI,,17890,0,0,17700,17890,17600,0,157362510,2.37E+11,13
54620,APS홀딩스,KOSDAQ,중견기업부,14010,30,0.21,14150,14440,13870,0,1075605830,2.86E+11,20
265520,AP시스템,KOSDAQ,우량기업부,19740,-50,-0.25,19890,20000,19700,0,1115486480,3.02E+11,15
211270,AP위성,KOSDAQ,벤처기업부,15090,-660,-4.19,15580,15580,14990,1,14294169770,2.28E+11,15
27410,BGF,KOSPI,,4260,-50,-1.16,4355,4360,4255,0,296785285,4.08E+11,96
282330,BGF리테일,KOSPI,,189300,-1100,-0.58,189600,191500,188500,0,2019163100,3.27E+12,17
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,5480,-40,-0.72,5750,5750,5440,0,1887562610,1.62E+11,30
138930,BNK금융지주,KOSPI,,6930,70,1.02,6900,6950,6830,1,4239624580,2.26E+12,326
1460,BYC,KOSPI,,371500,1000,0.27,372000,372000,367500,0,1482000,2.32E+11,1
1465,BYC우,KOSPI,,141100,700,0.5,141300,141300,141100,0,423700,30390823500,0
13720,CBI,KOSDAQ,중견기업부,363,-1,-0.27,365,369,359,2,580106946,98166870087,270
1040,CJ,KOSPI,,82900,600,0.73,82100,82900,81600,0,884172600,2.42E+12,29
79160,CJ CGV,KOSPI,,19280,-60,-0.31,19310,19330,19010,0,1465966560,9.20E+11,48
35760,CJ ENM,KOSDAQ GLOBAL,우량기업부,112700,6100,5.72,107000,112800,106100,0,11391199000,2.47E+12,22
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,29700,-100,-0.34,29800,30250,29550,0,60754550,1.75E+11,6
00104K,CJ4우(전환),KOSPI,,72200,-300,-0.41,72200,72400,71500,0,115550800,3.05E+11,4
120,CJ대한통운,KOSPI,,91800,1400,1.55,90400,93300,89800,0,3933399600,2.09E+12,23
11150,CJ씨푸드,KOSPI,,3245,20,0.62,3230,3265,3225,0,453376055,1.17E+11,36
11155,CJ씨푸드1우,KOSPI,,27000,150,0.56,26850,27000,26850,0,2256750,5400000000,0
1045,CJ우,KOSPI,,50000,0,0,50300,50300,50000,0,18651300,1.13E+11,2
97950,CJ제일제당,KOSPI,,347000,4500,1.31,342500,348000,342000,0,10692225500,5.22E+12,15
97955,CJ제일제당 우,KOSPI,,165500,400,0.24,165300,165500,164600,0,127290400,2.20E+11,1
51500,CJ프레시웨이,KOSDAQ,중견기업부,34950,100,0.29,34850,35150,34450,0,1611555450,4.15E+11,12
58820,CMG제약,KOSDAQ,중견기업부,2330,-15,-0.64,2340,2350,2315,0,459577605,3.24E+11,139
23460,CNH,KOSDAQ,중견기업부,2525,-10,-0.39,2550,2565,2490,0,14698060,93930000000,37
56730,CNT85,KOSDAQ,관리종목(소속부없음),3100,0,0,0,0,0,0,0,1.11E+11,36
65770,CS,KOSDAQ,벤처기업부,1651,4,0.24,1647,1654,1640,0,34864497,32047775630,19
83660,CSA 코스믹,KOSDAQ,중견기업부,1055,5,0.48,1060,1064,1050,0,18645664,41621008615,39
590,CS홀딩스,KOSPI,,64500,400,0.62,63700,64500,63600,0,49364600,74464089000,1
12030,DB,KOSPI,,936,0,0,944,945,917,0,304967819,1.88E+11,201
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2035,0,0,2020,2045,2020,0,10272750,11884400000,6
367340,DB금융스팩8호,KOSDAQ,SPAC(소속부없음),2030,0,0,2030,2030,2030,0,6090000,12281500000,6
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),2060,0,0,2065,2065,2050,0,3402155,9970400000,5
16610,DB금융투자,KOSPI,,4590,-60,-1.29,4650,4650,4580,0,129246475,1.95E+11,42
5830,DB손해보험,KOSPI,,64700,200,0.31,64500,65200,64100,0,3549407900,4.58E+12,71
990,DB하이텍,KOSPI,,46150,-500,-1.07,46650,46650,45850,0,9811413400,2.05E+12,44
995,DB하이텍1우,KOSPI,,82400,-1500,-1.79,84100,84100,82400,0,23084700,9254838400,0
139130,DGB금융지주,KOSPI,,7600,10,0.13,7570,7630,7550,0,1397658320,1.29E+12,169
1530,DI동일,KOSPI,,17230,490,2.93,16740,17300,16700,0,1025847880,4.41E+11,26
210,DL,KOSPI,,59000,-700,-1.17,59700,59800,58500,0,2639340700,1.24E+12,21
1880,DL건설,KOSPI,,14720,40,0.27,14750,14790,14560,0,96464050,3.25E+11,22
215,DL우,KOSPI,,34400,0,0,34800,34800,34050,0,9079150,58002356000,2
375500,DL이앤씨,KOSPI,,37400,-50,-0.13,37450,37700,37050,0,2684262450,1.45E+12,39
37550L,DL이앤씨2우(전환),KOSPI,,26500,-300,-1.12,26800,27000,26500,0,11311250,55966701500,2
37550K,DL이앤씨우,KOSPI,,23350,50,0.21,24000,24000,23300,0,13414950,49359214750,2
68790,DMS,KOSDAQ,우량기업부,6590,-10,-0.15,6600,6600,6510,0,265541990,1.62E+11,25
7340,DN오토모티브,KOSPI,,65300,1400,2.19,64100,65300,63700,0,1150241000,6.53E+11,10
4840,DRB동일,KOSPI,,4255,55,1.31,4260,4285,4155,0,82417955,84802150000,20
241520,DSC인베스트먼트,KOSDAQ,벤처기업부,4160,-85,-2,4285,4285,4145,0,1259309780,1.16E+11,28
155660,DSR,KOSPI,,6120,-30,-0.49,6140,6140,6080,0,28722580,97920000000,16
69730,DSR제강,KOSPI,,5530,-60,-1.07,5590,5620,5530,0,141904330,79632000000,14
180400,DXVX,KOSDAQ,관리종목(소속부없음),7740,0,0,0,0,0,0,0,2.22E+11,29
17940,E1,KOSPI,,47950,-50,-0.1,48000,48600,47500,0,193077600,3.29E+11,7
245620,EDGC,KOSDAQ,기술성장기업부,1913,9,0.47,1925,1925,1905,0,209524907,1.61E+11,84
37370,EG,KOSDAQ,중견기업부,9150,120,1.33,9010,9210,8940,0,845009140,78918493800,9
278990,EMB,KONEX,일반기업부,3200,0,0,0,0,0,0,0,11610310400,4
365550,ESR켄달스퀘어리츠,KOSPI,,4205,-30,-0.71,4230,4325,4200,0,476015655,8.96E+11,213
50120,ES큐브,KOSDAQ,중견기업부,4480,30,0.67,4455,4505,4430,0,171743860,60767105280,14
383220,F&F,KOSPI,,150600,-2000,-1.31,151700,153800,148200,0,12826486400,5.77E+12,38
7700,F&F홀딩스,KOSPI,,28800,-250,-0.86,29300,29300,28650,0,1477858800,1.13E+12,39
214270,FSN,KOSDAQ,중견기업부,5180,-90,-1.71,5310,5320,5100,1,7084688030,1.72E+11,33
130500,GH신소재,KOSDAQ,중견기업부,4125,-20,-0.48,4150,4165,4105,0,98403960,59998339500,15
114090,GKL,KOSPI,,19640,-190,-0.96,19800,19840,19410,0,3403078480,1.21E+12,62
900290,GRT,KOSDAQ,외국기업(소속부없음),2660,25,0.95,2630,2680,2600,0,28729250,1.79E+11,67
78930,GS,KOSPI,,43100,-650,-1.49,43400,43750,42500,0,3272201050,4.00E+12,93
83450,GST,KOSDAQ,우량기업부,22800,-100,-0.44,22900,23000,22650,0,359885800,2.12E+11,9
6360,GS건설,KOSPI,,23100,0,0,23150,23500,23000,0,7000218450,1.98E+12,86
1250,GS글로벌,KOSPI,,2455,5,0.2,2450,2470,2440,0,427612130,2.03E+11,83
7070,GS리테일,KOSPI,,28250,-250,-0.88,28400,28600,28200,0,1347181500,2.96E+12,105
78935,GS우,KOSPI,,34650,-100,-0.29,34750,35000,34550,0,24937450,61844220900,2
297890,HB솔루션,KOSDAQ,벤처기업부,13030,120,0.93,12930,13150,12840,0,317595810,2.18E+11,17
78150,HB테크놀러지,KOSDAQ,우량기업부,1941,6,0.31,1935,1942,1926,0,282056843,1.53E+11,79
12630,HDC,KOSPI,,6010,0,0,6010,6040,5960,0,135157940,3.59E+11,60
39570,HDC랩스,KOSPI,,8100,80,1,8030,8130,8010,0,13591440,2.10E+11,26
89470,HDC현대EP,KOSPI,,4145,15,0.36,4135,4175,4120,0,58007395,1.32E+11,32
294870,HDC현대산업개발,KOSPI,,10990,-20,-0.18,11010,11060,10940,0,699060870,7.24E+11,66
267250,HD현대,KOSPI,,59800,-700,-1.16,60400,60500,59300,0,4773558000,4.72E+12,79
97230,HJ중공업,KOSPI,,4010,30,0.75,4005,4050,3950,0,155432705,3.34E+11,83
195940,HK이노엔,KOSDAQ GLOBAL,벤처기업부,39900,-50,-0.13,39950,40250,39650,0,2552064700,1.15E+12,29
14790,HL D&I,KOSPI,,2870,45,1.59,2840,2885,2840,0,21968285,1.09E+11,38
28300,HLB,KOSDAQ,중견기업부,31900,-200,-0.62,32100,32200,31650,0,7168286000,3.72E+12,116
3580,HLB글로벌,KOSPI,,6150,40,0.65,6200,6280,6040,0,892437070,2.61E+11,42
343090,HLB사이언스,KONEX,일반기업부,2860,5,0.18,2945,2945,2770,0,4625515,33064926180,12
67630,HLB생명과학,KOSDAQ,중견기업부,11790,-160,-1.34,11950,11990,11770,0,3325769670,1.14E+12,97
47920,HLB제약,KOSDAQ,기술성장기업부,13710,160,1.18,13630,14160,13230,0,5688267550,3.82E+11,28
115450,HLB테라퓨틱스,KOSDAQ,중견기업부,12650,150,1.2,12620,12690,12530,0,1949201130,4.32E+11,34
204320,HL만도,KOSPI,,45500,800,1.79,44650,45750,44400,0,5062246850,2.14E+12,47
60980,HL홀딩스,KOSPI,,30650,100,0.33,30900,30950,30550,0,125486800,3.21E+11,10
11200,HMM,KOSPI,,22500,100,0.45,22700,22700,22050,1,19041907850,1.10E+13,489
403870,HPSP,KOSDAQ,중견기업부,60000,-300,-0.5,60100,60500,59100,0,2807814000,1.22E+12,20
36640,HRS,KOSDAQ,우량기업부,5580,-40,-0.71,5650,5650,5580,0,247663670,91259784000,16
82740,HSD엔진,KOSPI,,7500,-40,-0.53,7540,7630,7400,0,1568265590,5.37E+11,72
351340,IBKS제13호스팩,KOSDAQ,관리종목(소속부없음),2020,0,0,2025,2025,2020,0,14649050,10443400000,5
388790,IBKS제16호스팩,KOSDAQ,SPAC(소속부없음),2410,20,0.84,2380,2435,2380,0,100349160,8218100000,3
405350,IBKS제17호스팩,KOSDAQ,SPAC(소속부없음),2375,0,0,0,0,0,0,0,6460000000,3
424760,IBKS제18호스팩,KOSDAQ,SPAC(소속부없음),2800,-130,-4.44,2950,2950,2780,0,361482160,11844000000,4
426550,IBKS제19호스팩,KOSDAQ,SPAC(소속부없음),2160,10,0.47,2125,2160,2125,0,3137895,10972800000,5
439730,IBKS제20호스팩,KOSDAQ,SPAC(소속부없음),2160,10,0.47,2150,2160,2150,0,13084760,9309600000,4
442770,IBKS제21호스팩,KOSDAQ,SPAC(소속부없음),2140,0,0,2150,2150,2140,0,8864870,9009400000,4
3560,IHQ,KOSPI,,411,-1,-0.24,420,422,408,1,449814660,96213311328,234
95340,ISC,KOSDAQ,우량기업부,35800,-350,-0.97,36200,36300,35500,0,1759507500,6.23E+11,17
99520,ITX-AI,KOSDAQ,관리종목(소속부없음),2570,0,0,0,0,0,0,0,63350158190,25
175330,JB금융지주,KOSPI,,9350,-20,-0.21,9290,9410,9100,0,3393836710,1.84E+12,197
950170,JTC,KOSDAQ,관리종목(소속부없음),4030,30,0.75,4000,4110,3930,0,298024695,2.02E+11,50
234080,JW생명과학,KOSPI,,12240,0,0,12250,12350,12240,0,98291170,1.94E+11,16
67290,JW신약,KOSDAQ,중견기업부,3495,-45,-1.27,3540,3545,3490,0,372730630,1.69E+11,48
1060,JW중외제약,KOSPI,,21250,250,1.19,21200,21350,20900,0,861283900,4.71E+11,22
1067,JW중외제약2우B,KOSPI,,62200,0,0,0,0,0,0,0,12440000000,0
1065,JW중외제약우,KOSPI,,32400,200,0.62,32450,32450,32000,0,1524200,10551222000,0
96760,JW홀딩스,KOSPI,,3065,10,0.33,3055,3090,3055,0,22251410,2.16E+11,70
35900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,72400,300,0.42,72300,72800,71400,0,6239281600,2.57E+12,35
318000,KBG,KOSDAQ,벤처기업부,6810,-90,-1.3,6850,6900,6770,0,291594590,56045108250,8
24840,KBI메탈,KOSDAQ,중견기업부,1418,-7,-0.49,1425,1434,1404,0,91332128,46724302464,33
105560,KB금융,KOSPI,,56900,500,0.89,56000,57200,55600,1,28956886400,2.33E+13,409
432320,KB스타리츠,KOSPI,,4590,-35,-0.76,4630,4640,4590,0,122796405,4.65E+11,101
24120,KB오토시스,KOSDAQ,우량기업부,4500,30,0.67,4500,4550,4430,0,167352330,51750000000,12
2380,KCC,KOSPI,,239000,2000,0.84,236500,240000,235000,0,2452124000,2.12E+12,9
21320,KCC건설,KOSDAQ,우량기업부,7100,-50,-0.7,7180,7180,7030,0,140122440,1.52E+11,21
344820,KCC글라스,KOSPI,,38950,50,0.13,39350,39350,38800,0,256844050,6.22E+11,16
36670,KCI,KOSDAQ,우량기업부,8950,-10,-0.11,9030,9030,8910,0,41939680,1.01E+11,11
9070,KCTC,KOSPI,,4765,-40,-0.83,4805,4835,4765,0,121329130,1.43E+11,30
9440,KC그린홀딩스,KOSPI,,3140,-30,-0.95,3170,3170,3110,0,57710780,70445837200,22
112190,KC산업,KONEX,일반기업부,2320,0,0,2320,2320,2320,0,406000,16530586960,7
119650,KC코트렐,KOSPI,,1938,-22,-1.12,1960,1960,1929,0,346869809,67055683728,35
44180,KD,KOSDAQ,중견기업부,782,16,2.09,774,784,764,0,26965761,19431637262,25
92220,KEC,KOSPI,,2130,-15,-0.7,2155,2155,2120,1,1213449745,3.08E+11,145
151860,KG ETS,KOSDAQ,우량기업부,11810,190,1.64,11840,11840,11470,0,4873449340,4.25E+11,36
46440,KG모빌리언스,KOSDAQ,우량기업부,6140,130,2.16,6160,6250,6050,0,1473927390,2.38E+11,39
16380,KG스틸,KOSPI,,8460,50,0.59,8500,8570,8370,0,1818801190,8.46E+11,100
35600,KG이니시스,KOSDAQ,우량기업부,13540,290,2.19,13370,13540,13150,0,1193218370,3.78E+11,28
1390,KG케미칼,KOSPI,,24200,450,1.89,23900,24250,23800,0,1118092850,3.36E+11,14
226360,KH 건설,KOSDAQ,벤처기업부,456,-7,-1.51,463,472,451,6,2742477462,56370962136,124
111870,KH 전자,KOSDAQ,중견기업부,303,-8,-2.57,311,315,296,10,2987423196,48467826066,160
33180,KH 필룩스,KOSPI,,858,42,5.15,848,915,828,40,34337531740,1.49E+11,174
60720,KH바텍,KOSDAQ,중견기업부,15350,-100,-0.65,15500,15500,15260,0,959070820,3.63E+11,24
1940,KISCO홀딩스,KOSPI,,17230,-220,-1.26,17550,17550,17230,0,91726280,2.79E+11,16
58400,KNN,KOSDAQ,우량기업부,933,-1,-0.11,936,939,931,0,108413660,1.24E+11,132
114450,KPX생명과학,KOSDAQ,중견기업부,4800,-35,-0.72,4840,4845,4790,0,302365935,72000000000,15
25000,KPX케미칼,KOSPI,,49450,-250,-0.5,49550,49650,49250,0,42701850,2.39E+11,5
92230,KPX홀딩스,KOSPI,,55800,-300,-0.53,56100,56100,55300,0,8391700,2.36E+11,4
40,KR모터스,KOSPI,,542,10,1.88,535,543,534,0,115259101,52107048030,96
44450,KSS해운,KOSPI,,9250,-60,-0.64,9310,9310,9190,0,42170790,2.14E+11,23
30200,KT,KOSPI,,34150,-550,-1.59,34400,34450,32900,1,46032981950,8.92E+12,261
33780,KT&G,KOSPI,,92200,200,0.22,91600,92300,91000,0,10452396600,1.27E+13,137
58850,KTcs,KOSPI,,4005,-60,-1.48,4065,4090,3960,1,4546411045,1.71E+11,43
58860,KTis,KOSPI,,3495,-25,-0.71,3490,3590,3405,2,6038429555,1.22E+11,35
60370,KT서브마린,KOSDAQ,중견기업부,5690,-30,-0.52,5730,5730,5640,0,183814790,1.48E+11,26
122450,KX,KOSDAQ,중견기업부,5930,0,0,5970,6000,5880,0,80305220,2.69E+11,45
52900,KX하이텍,KOSDAQ,벤처기업부,1361,-7,-0.51,1368,1376,1356,0,118296751,75001330637,55
93050,LF,KOSPI,,17100,100,0.59,17050,17100,16900,0,145920350,5.00E+11,29
3550,LG,KOSPI,,80900,-300,-0.37,80800,81100,79700,0,10294692600,1.27E+13,157
34220,LG디스플레이,KOSPI,,14090,160,1.15,13920,14130,13870,0,6555587210,5.04E+12,358
51900,LG생활건강,KOSPI,,688000,-4000,-0.58,693000,694000,681000,0,31022727000,1.07E+13,16
51905,LG생활건강우,KOSPI,,296000,-1000,-0.34,297000,298000,295000,0,1005634000,6.22E+11,2
373220,LG에너지솔루션,KOSPI,,535000,2000,0.38,533000,541000,530000,0,95666059500,1.25E+14,234
3555,LG우,KOSPI,,59900,0,0,60000,60100,59800,0,72655400,1.81E+11,3
32640,LG유플러스,KOSPI,,11030,20,0.18,11010,11120,10870,1,13766091130,4.82E+12,437
11070,LG이노텍,KOSPI,,280000,2500,0.9,276000,280500,274000,0,25848935000,6.63E+12,24
66570,LG전자,KOSPI,,101300,400,0.4,101300,102100,100200,0,26804697400,1.66E+13,164
66575,LG전자우,KOSPI,,45200,-50,-0.11,45500,45500,44850,0,633316300,7.77E+11,17
37560,LG헬로비전,KOSPI,,4625,5,0.11,4635,4640,4575,0,457392845,3.58E+11,77
51910,LG화학,KOSPI,,667000,-9000,-1.33,672000,676000,661000,0,85057569000,4.71E+13,71
51915,LG화학우,KOSPI,,298500,-3000,-1,302500,302500,296500,0,2491505000,2.30E+12,8
79550,LIG넥스원,KOSPI,,81100,200,0.25,81000,81200,80200,0,4801971000,1.78E+12,22
6260,LS,KOSPI,,66300,-400,-0.6,66600,66900,66100,0,2817997100,2.13E+12,32
10120,LS ELECTRIC,KOSPI,,49100,100,0.2,49100,49550,48900,0,5974072350,1.47E+12,30
680,LS네트웍스,KOSPI,,2585,-10,-0.39,2610,2610,2575,0,37855520,2.04E+11,79
229640,LS전선아시아,KOSPI,,7290,0,0,7290,7320,7270,0,136395760,2.23E+11,31
108320,LX세미콘,KOSPI,,80600,-600,-0.74,81200,81800,80500,0,3128013200,1.31E+12,16
1120,LX인터내셔널,KOSPI,,34100,-350,-1.02,34400,34450,33800,0,4003188450,1.32E+12,39
108670,LX하우시스,KOSPI,,36600,-2300,-5.91,38850,38850,36450,0,3577522600,3.28E+11,9
108675,LX하우시스우,KOSPI,,18050,-750,-3.99,18800,18800,18000,0,43933700,18633556500,1
383800,LX홀딩스,KOSPI,,8840,-80,-0.9,8910,8930,8830,0,362246360,6.74E+11,76
38380K,LX홀딩스1우,KOSPI,,11790,0,0,12080,12080,11750,0,15169370,17275710150,1
86960,MDS테크,KOSDAQ,중견기업부,1723,60,3.61,1667,1785,1667,9,14739898100,1.43E+11,83
23150,MH에탄올,KOSPI,,7800,40,0.52,7830,7850,7790,0,20003710,57552502800,7
38340,MIT,KOSDAQ,투자주의환기종목(소속부없음),2040,0,0,0,0,0,0,0,25977967920,13
35420,NAVER,KOSPI,,225000,13500,6.38,214000,225500,210500,2,4.97E+11,3.69E+13,164
160550,NEW,KOSDAQ,중견기업부,9020,0,0,9140,9420,9010,1,5581127480,2.52E+11,28
53290,NE능률,KOSDAQ,중견기업부,5330,90,1.72,5240,5410,5220,0,1778498640,88085216310,17
181710,NHN,KOSPI,,29100,600,2.11,28800,29400,28500,0,1243707350,1.05E+12,36
104200,NHN벅스,KOSDAQ,중견기업부,8400,170,2.07,8350,8980,8320,3,22297634810,1.25E+11,15
60250,NHN한국사이버결제,KOSDAQ GLOBAL,우량기업부,14640,220,1.53,14590,14830,14370,0,4856654000,5.88E+11,40
400760,NH올원리츠,KOSPI,,3730,-60,-1.58,3815,3815,3730,0,267346490,1.57E+11,42
5940,NH투자증권,KOSPI,,9380,100,1.08,9290,9380,9230,0,2130569680,3.11E+12,332
5945,NH투자증권우,KOSPI,,9000,0,0,9010,9010,8950,0,85153380,1.70E+11,19
338100,NH프라임리츠,KOSPI,,4470,0,0,4480,4480,4290,0,40580110,83410200000,19
34310,NICE,KOSPI,,14080,180,1.29,13950,14100,13760,0,205432020,5.33E+11,38
30190,NICE평가정보,KOSDAQ GLOBAL,우량기업부,13460,220,1.66,13240,13540,13180,0,768754230,8.17E+11,61
8260,NI스틸,KOSPI,,5440,-170,-3.03,5610,5730,5420,0,2330601930,1.56E+11,29
4250,NPC,KOSPI,,6650,-50,-0.75,6690,6750,6620,0,683712830,2.44E+11,37
4255,NPC우,KOSPI,,3405,-40,-1.16,3440,3445,3405,0,30681000,17978400000,5
10060,OCI,KOSPI,,94100,800,0.86,93300,96600,92800,0,31103032000,2.24E+12,24
178920,PI첨단소재,KOSPI,,34300,-100,-0.29,34200,34400,33850,0,1076736700,1.01E+12,29
24940,PN풍년,KOSDAQ,벤처기업부,8430,-40,-0.47,8430,8470,8250,0,538567060,84300000000,10
5490,POSCO홀딩스,KOSPI,,301000,-2500,-0.82,302000,302500,298000,0,64831163500,2.55E+13,85
218410,RFHIC,KOSDAQ,우량기업부,24300,-350,-1.42,25050,25050,24250,0,1783684300,6.51E+11,27
327260,RF머트리얼즈,KOSDAQ,벤처기업부,13900,-580,-4.01,14480,14480,13860,0,559471150,1.14E+11,8
91340,S&K폴리텍,KOSDAQ,중견기업부,4155,70,1.71,4085,4250,4045,0,328068665,48628960755,12
10950,S-Oil,KOSPI,,86900,-1400,-1.59,88000,88100,86500,0,14872716600,9.78E+12,113
10955,S-Oil우,KOSPI,,53300,-700,-1.3,54900,54900,53200,0,212324100,2.14E+11,4
419530,SAMG엔터,KOSDAQ,기술성장기업부,47500,600,1.28,46500,48100,45950,0,17937106250,4.08E+11,9
19550,SBI인베스트먼트,KOSDAQ,벤처기업부,1220,-20,-1.61,1242,1244,1217,0,403771307,1.98E+11,162
950110,SBI핀테크솔루션즈,KOSDAQ,외국기업(소속부없음),4065,65,1.63,4000,4075,3955,0,31446435,97773575100,24
34120,SBS,KOSPI,,33050,-150,-0.45,33050,33200,32800,0,917794450,6.03E+11,18
46140,SBS콘텐츠허브,KOSDAQ,우량기업부,7260,-40,-0.55,7270,7290,7130,0,1514957340,1.56E+11,21
151910,SBW생명과학,KOSDAQ,중견기업부,810,15,1.89,786,820,783,1,731743687,1.43E+11,177
36120,SCI평가정보,KOSDAQ,중견기업부,3860,50,1.31,3815,3880,3810,0,1203425780,1.37E+11,36
99220,SDN,KOSDAQ,중견기업부,1930,4,0.21,1923,1942,1922,0,560695467,1.08E+11,56
36540,SFA반도체,KOSDAQ,우량기업부,4450,-20,-0.45,4480,4490,4430,0,1403725355,7.32E+11,164
255220,SG,KOSDAQ,중견기업부,1269,7,0.55,1300,1406,1262,2,2495028617,56796238341,45
40610,SG&G,KOSDAQ,중견기업부,1798,-4,-0.22,1802,1809,1785,0,116960473,61288778408,34
49470,SGA,KOSDAQ,중견기업부,883,-3,-0.34,886,887,874,0,96585368,51975365867,59
184230,SGA솔루션즈,KOSDAQ,벤처기업부,1025,-4,-0.39,1035,1046,1024,0,502304965,55541904600,54
5090,SGC에너지,KOSPI,,31100,-450,-1.43,31800,31800,30950,0,713416000,4.56E+11,15
16250,SGC이테크건설,KOSDAQ,우량기업부,30650,-150,-0.49,30800,30800,30500,0,22991650,79672989250,3
1380,SG글로벌,KOSPI,,1666,-11,-0.66,1695,1698,1660,0,59933325,74910262238,45
4060,SG세계물산,KOSPI,,573,-5,-0.87,578,579,571,0,186357151,1.16E+11,202
1770,SHD,KOSPI,,38100,-150,-0.39,38250,38250,37550,0,104247100,46286851800,1
2360,SH에너지화학,KOSPI,,897,-4,-0.44,902,903,896,0,301170721,99686955810,111
9160,SIMPAC,KOSPI,,5260,-10,-0.19,5270,5300,5220,0,112043030,3.44E+11,65
123700,SJM,KOSPI,,4455,-55,-1.22,4535,4595,4430,0,49930045,69519820590,16
25530,SJM홀딩스,KOSPI,,3745,5,0.13,3750,3760,3725,0,67823765,55927859960,15
34730,SK,KOSPI,,199100,800,0.4,198300,199300,197100,0,8465638200,1.48E+13,74
11790,SKC,KOSPI,,98900,200,0.2,99000,99400,97200,0,5813929000,3.75E+12,38
18670,SK가스,KOSPI,,120500,-200,-0.17,120500,122000,120000,0,255643600,1.11E+12,9
1740,SK네트웍스,KOSPI,,4085,60,1.49,4030,4095,4010,0,1125106410,1.01E+12,248
1745,SK네트웍스우,KOSPI,,51700,700,1.37,51000,51700,51000,0,27341400,5875601600,0
6120,SK디스커버리,KOSPI,,31750,-150,-0.47,31900,32350,31600,0,1663245450,6.04E+11,19
6125,SK디스커버리우,KOSPI,,28650,50,0.17,28700,28750,28600,0,5803100,38919735750,1
210980,SK디앤디,KOSPI,,22000,150,0.69,21850,22100,21650,0,373077700,4.88E+11,22
68400,SK렌터카,KOSPI,,7170,-10,-0.14,7210,7220,7140,0,74799670,3.39E+11,47
395400,SK리츠,KOSPI,,5420,20,0.37,5390,5530,5360,0,681868200,1.07E+12,197
302440,SK바이오사이언스,KOSPI,,78500,-700,-0.88,79200,79200,77800,0,5969729400,6.03E+12,77
326030,SK바이오팜,KOSPI,,72300,-800,-1.09,72700,73100,71100,0,3525574300,5.66E+12,78
402340,SK스퀘어,KOSPI,,36300,-700,-1.89,36950,36950,36050,0,5845206900,5.14E+12,141
260870,SK시그넷,KONEX,일반기업부,40050,250,0.63,39950,40150,39800,0,130721550,2.37E+11,6
361610,SK아이이테크놀로지,KOSPI,,72000,-1400,-1.91,73300,73300,71400,0,19467255100,5.13E+12,71
03473K,SK우,KOSPI,,172200,200,0.12,172000,174000,171400,0,73592300,97488447000,1
96770,SK이노베이션,KOSPI,,172100,-900,-0.52,171500,172200,168400,0,39612156600,1.59E+13,92
96775,SK이노베이션우,KOSPI,,102500,-1500,-1.44,104700,104700,101800,0,126276600,1.28E+11,1
1510,SK증권,KOSPI,,897,-91,-9.21,988,993,890,47,43006965899,4.24E+11,473
1515,SK증권우,KOSPI,,3090,-270,-8.04,3400,3400,3090,0,133773345,12089668260,4
285130,SK케미칼,KOSPI,,85200,-700,-0.81,85700,85700,85000,0,1602170900,1.47E+12,17
28513K,SK케미칼우,KOSPI,,40400,-250,-0.62,40650,40750,40300,0,101404800,85463331600,2
17670,SK텔레콤,KOSPI,,46450,150,0.32,46350,46600,46050,0,12590099450,1.02E+13,219
660,SK하이닉스,KOSPI,,92000,-1400,-1.5,92400,93200,91300,1,1.34E+11,6.70E+13,728
48550,SM C&C,KOSDAQ,중견기업부,3300,-50,-1.49,3310,3335,3280,0,1323484410,3.16E+11,96
63440,SM Life Design,KOSDAQ,중견기업부,2585,-70,-2.64,2620,2625,2565,1,2576272650,1.19E+11,46
64960,SNT모티브,KOSPI,,47100,1350,2.95,46250,47300,46000,0,1510755750,6.89E+11,15
100840,SNT에너지,KOSPI,,20150,-50,-0.25,20200,20300,19940,0,308308630,1.51E+11,8
3570,SNT중공업,KOSPI,,10780,160,1.51,10710,10960,10700,0,1314934610,3.58E+11,33
36530,SNT홀딩스,KOSPI,,16060,-40,-0.25,16100,16240,16020,0,11211390,2.62E+11,16
5610,SPC삼립,KOSPI,,72200,400,0.56,72400,72500,71600,0,196264600,6.23E+11,9
11810,STX,KOSPI,,5310,-30,-0.56,5370,5390,5300,0,659282230,1.52E+11,29
77970,STX엔진,KOSPI,,13870,-30,-0.22,13900,13900,13780,0,249385880,3.19E+11,23
71970,STX중공업,KOSPI,,7240,-100,-1.36,7340,7360,7210,0,921556340,2.07E+11,29
2820,SUN&L,KOSPI,,3405,-80,-2.3,3460,3465,3385,0,22196300,42930202545,13
