itemCode,stockItemName,marketSegmentation,presence,closingPrice,prepare,fluctuationRate,openPrice,highPrice,lowPrice,tradingVolume,transactionAmount,marketCap,numberOfListedShares
266470,바이오인프라생명과학,KONEX,일반기업부,1145,145,14.5,1000,1150,939,178,0,16152,14106847
86040,바이오톡스텍,KOSDAQ,벤처기업부,8100,-140,-1.7,8240,8240,8100,27994,228,118804,14667123
199290,바이오프로테크,KONEX,일반기업부,1020,0,0,0,0,0,0,0,16093,15777142
99430,바이오플러스,KOSDAQ,벤처기업부,8080,10,0.12,8060,8100,7940,268079,2149,468081,57930864
32980,바이온,KOSDAQ,중견기업부,1200,-5,-0.41,1205,1208,1190,65024,78,44112,36760142
222160,바이옵트로,KOSDAQ,기술성장기업부,6100,-10,-0.16,6050,6110,6020,17048,103,49678,8143866
308080,바이젠셀,KOSDAQ,기술성장기업부,7910,-90,-1.13,7910,7980,7800,22821,179,150338,19006060
43150,바텍,KOSDAQ,우량기업부,34100,-200,-0.58,34300,34350,33750,12878,437,506530,14854256
323990,박셀바이오,KOSDAQ,기술성장기업부,36250,-600,-1.63,36850,36850,36050,37552,1362,551834,15223000
3610,방림,KOSPI,,5710,40,0.71,5670,5760,5570,39765,224,241613,42314090
267790,배럴,KOSDAQ,중견기업부,8460,40,0.48,8420,8480,8320,3615,30,66711,7885500
1340,백광산업,KOSPI,,4380,-10,-0.23,4385,4385,4350,33889,148,196743,44918407
46310,백금T&A,KOSDAQ,중견기업부,3540,20,0.57,3520,3550,3440,27117,95,58122,16418641
35150,백산,KOSPI,,8870,160,1.84,8730,8900,8680,98120,865,207691,23415000
331520,밸로프,KOSDAQ,중견기업부,1717,-16,-0.92,1724,1742,1717,410291,708,82192,47869299
66410,버킷스튜디오,KOSDAQ,중견기업부,1400,-2,-0.14,1406,1411,1394,454075,637,117754,84109926
2410,범양건영,KOSPI,,3760,-90,-2.34,3830,3840,3735,91798,346,93368,24831982
382900,범한퓨얼셀,KOSDAQ,벤처기업부,29550,0,0,29700,30400,29400,44665,1327,258888,8761000
206400,베노홀딩스,KOSDAQ,벤처기업부,2820,-85,-2.93,2890,2890,2810,94703,268,81312,28834011
19010,베뉴지,KOSDAQ,중견기업부,2125,-10,-0.47,2145,2145,2100,27119,57,102425,48200000
322190,베른,KONEX,일반기업부,106,0,0,95,106,95,12,0,946,8925197
177350,베셀,KOSDAQ,중견기업부,6810,50,0.74,6700,6870,6580,156692,1058,84402,12393794
299910,베스파,KOSDAQ,투자주의환기종목(소속부없음),3165,0,0,0,0,0,0,0,25975,8206916
7210,벽산,KOSPI,,2310,-15,-0.65,2320,2335,2265,103553,237,158374,68560000
225530,보광산업,KOSDAQ,우량기업부,6230,-90,-1.42,6320,6320,6180,25245,157,226390,36338727
250000,보라티알,KOSDAQ,중견기업부,12130,-10,-0.08,12140,12170,12020,3535,43,81886,6750733
2760,보락,KOSPI,,1909,-13,-0.68,1931,1945,1903,403684,776,114349,59900000
3850,보령,KOSPI,,9710,10,0.1,9710,9760,9610,56901,550,666980,68690000
310210,보로노이,KOSDAQ,기술성장기업부,31300,-600,-1.88,31450,32000,31250,14288,450,395878,12647869
6910,보성파워텍,KOSDAQ,중견기업부,4185,-115,-2.67,4255,4270,4175,417904,1757,205608,49129824
890,보해양조,KOSPI,,666,-6,-0.89,672,673,661,86484,58,92654,139120129
226340,본느,KOSDAQ,중견기업부,1826,-28,-1.51,1854,1854,1814,28165,51,56057,30699596
206950,볼빅,KONEX,일반기업부,2265,0,0,0,0,0,0,0,11960,5280422
3000,부광약품,KOSPI,,9340,-10,-0.11,9350,9380,9250,34814,324,663729,71063049
1270,부국증권,KOSPI,,19620,-80,-0.41,19700,19700,19380,1980,39,203457,10369886
1275,부국증권우,KOSPI,,18470,0,0,0,0,0,0,0,55410,3000000
26940,부국철강,KOSPI,,3490,-10,-0.29,3485,3505,3455,14127,49,69800,20000000
14470,부방,KOSDAQ,중견기업부,2325,-45,-1.9,2370,2375,2315,131670,308,139622,60052260
11390,부산산업,KOSPI,,78000,-900,-1.14,78900,78900,77700,744,58,82368,1056000
5030,부산주공,KOSPI,,625,-6,-0.95,638,638,623,216316,135,45581,72928988
8470,부스타,KOSDAQ,우량기업부,5200,30,0.58,5170,5220,5140,5149,27,43705,8404800
338220,뷰노,KOSDAQ,기술성장기업부,9460,-380,-3.86,9800,9800,9390,54434,518,107652,11379656
100120,뷰웍스,KOSDAQ,우량기업부,32500,-200,-0.61,32800,32800,32250,2509,82,325061,10001865
337930,브랜드엑스코퍼레이션,KOSDAQ,우량기업부,6750,30,0.45,6880,7180,6640,1388718,9713,197549,29266589
99390,브레인즈컴퍼니,KOSDAQ,벤처기업부,11850,-810,-6.4,12650,12790,11800,295309,3586,97268,8208283
64480,브리지텍,KOSDAQ,벤처기업부,6680,-460,-6.44,7240,7240,6650,665263,4553,79843,11952500
288330,브릿지바이오테라퓨틱스,KOSDAQ,기술성장기업부,11100,30,0.27,11000,11190,10930,10270,114,220850,19896425
365900,브이씨,KOSDAQ,벤처기업부,7930,80,1.02,7920,8050,7850,39844,317,57971,7310300
251630,브이원텍,KOSDAQ,벤처기업부,7600,-50,-0.65,7630,7700,7270,34598,261,115236,15162580
18290,브이티지엠피,KOSDAQ,우량기업부,5790,-90,-1.53,5860,5860,5780,41368,240,199662,34483893
44480,블레이드 Ent,KOSDAQ,중견기업부,1916,-24,-1.24,1910,1950,1884,233841,445,61971,32343981
33560,블루콤,KOSDAQ,벤처기업부,4020,-20,-0.5,4000,4050,3920,89288,358,68742,17100000
191600,블루탑,KONEX,일반기업부,14890,0,0,0,0,0,0,0,42437,2850000
369370,블리츠웨이,KOSDAQ,벤처기업부,2545,-25,-0.97,2540,2560,2450,55206,137,107074,42072227
126340,비나텍,KOSDAQ,벤처기업부,45100,-300,-0.66,45800,46400,45000,20496,942,246619,5468262
121800,비덴트,KOSDAQ,벤처기업부,4020,-70,-1.71,4050,4055,3980,488844,1959,234338,58292938
148140,비디아이,KOSDAQ,관리종목(소속부없음),640,0,0,0,0,0,0,0,27654,43208667
82800,비보존 제약,KOSDAQ,투자주의환기종목(소속부없음),996,69,7.44,945,1070,933,9680056,9848,233107,234043081
318410,비비씨,KOSDAQ,중견기업부,9700,30,0.31,9750,9750,9670,5576,54,53886,5555243
2070,비비안,KOSPI,,1416,-30,-2.07,1446,1446,1400,41095,58,42188,29793990
100220,비상교육,KOSPI,,6120,-50,-0.81,6170,6190,6100,7463,46,79540,12996741
419540,비스토스,KOSDAQ,벤처기업부,2955,40,1.37,2890,2955,2830,827510,2404,62573,21175308
146320,비씨엔씨,KOSDAQ,벤처기업부,15700,30,0.19,15670,15830,15480,12836,201,200337,12760303
200780,비씨월드제약,KOSDAQ,벤처기업부,8030,-100,-1.23,8060,8130,7950,2185,18,71406,8892384
141000,비아트론,KOSDAQ,우량기업부,9170,-80,-0.86,9160,9250,9110,3165,29,111092,12114710
90460,비에이치,KOSDAQ GLOBAL,우량기업부,21200,-100,-0.47,21300,21350,21100,130983,2778,730645,34464379
83650,비에이치아이,KOSDAQ,중견기업부,6410,-180,-2.73,6550,6550,6370,112266,721,166660,26000000
215050,비엔디생활건강,KONEX,일반기업부,912,0,0,0,0,0,0,0,1935,2121666
32790,비엔지티,KOSDAQ,벤처기업부,3330,10,0.3,3320,3500,3255,274417,916,103899,31201010
445360,비엔케이제1호스팩,KOSDAQ,SPAC(소속부없음),2045,0,0,2045,2045,2045,3406,7,8814,4310000
142760,비엘,KOSDAQ,기술성장기업부,4430,-60,-1.34,4465,4480,4400,78084,346,139317,31448597
65170,비엘팜텍,KOSDAQ,중견기업부,671,-9,-1.32,680,693,667,32165,22,59699,88970559
86220,비엘헬스케어,KONEX,일반기업부,2095,0,0,0,0,0,0,0,22152,10573865
86670,비엠티,KOSDAQ,우량기업부,15630,210,1.36,15350,15750,15300,44005,686,142626,9125174
335890,비올,KOSDAQ,벤처기업부,4210,-90,-2.09,4300,4340,4200,511001,2180,244741,58133344
138580,비즈니스온,KOSDAQ,벤처기업부,8200,-190,-2.26,8390,8390,7990,11059,91,184961,22556163
82920,비츠로셀,KOSDAQ,우량기업부,15990,-320,-1.96,16070,16150,15720,33150,528,344411,21539152
