itemCode,stockItemName,marketSegmentation,presence,closingPrice,prepare,fluctuationRate,openPrice,highPrice,lowPrice,tradingVolume,transactionAmount,marketCap,numberOfListedShares
60310,3S,KOSDAQ,중견기업부,2325,-25,-1.06,2340,2345,2320,18136,42,112848,48536642
95570,AJ네트웍스,KOSPI,,6650,-50,-0.75,6650,6750,6550,48809,325,311368,46822295
6840,AK홀딩스,KOSPI,,18050,-40,-0.22,17860,18090,17790,4911,88,239118,13247561
54620,APS홀딩스,KOSDAQ,중견기업부,13950,-400,-2.79,14350,14350,13810,51452,720,284499,20394221
265520,AP시스템,KOSDAQ,우량기업부,19480,-130,-0.66,19610,19750,18900,27035,524,297682,15281421
211270,AP위성,KOSDAQ,벤처기업부,15220,-300,-1.93,15970,16800,15050,3386226,54639,229553,15082304
27410,BGF,KOSPI,,4320,15,0.35,4300,4325,4280,15955,69,413497,95716791
282330,BGF리테일,KOSPI,,186700,-4200,-2.2,189200,190200,186100,4567,856,3226905,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,5710,210,3.82,5480,5890,5480,373645,2149,168650,29535894
138930,BNK금융지주,KOSPI,,6860,-40,-0.58,6900,6900,6780,465782,3183,2235916,325935246
1460,BYC,KOSPI,,371500,2000,0.54,371500,371500,371500,1,0,232044,624615
1465,BYC우,KOSPI,,141000,0,0,140000,141000,140000,14,2,30369,215385
13720,CBI,KOSDAQ,중견기업부,377,14,3.86,363,388,361,6074442,2263,101953,270432149
1040,CJ,KOSPI,,82800,100,0.12,83100,83100,81500,11615,956,2415855,29176998
79160,CJ CGV,KOSPI,,19510,210,1.09,19220,19530,19100,68311,1321,931056,47721975
35760,CJ ENM,KOSDAQ GLOBAL,우량기업부,112700,-3400,-2.93,115900,115900,112000,71575,8105,2471416,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,29350,-250,-0.84,30250,30250,29150,2223,65,172539,5878672
00104K,CJ4우(전환),KOSPI,,72100,-600,-0.83,73100,73100,71600,635,46,304732,4226512
120,CJ대한통운,KOSPI,,90300,-1600,-1.74,91400,91400,90000,17545,1588,2059955,22812344
11150,CJ씨푸드,KOSPI,,3210,-5,-0.16,3205,3290,3160,155024,499,115338,35930773
11155,CJ씨푸드1우,KOSPI,,26950,100,0.37,26800,26950,26800,61,2,5390,200000
1045,CJ우,KOSPI,,49900,-100,-0.2,50000,50100,49750,336,17,112785,2260223
97950,CJ제일제당,KOSPI,,347500,-1000,-0.29,348500,349000,345000,13500,4689,5231330,15054186
97955,CJ제일제당 우,KOSPI,,165100,-700,-0.42,166400,166400,164900,542,90,219159,1327433
51500,CJ프레시웨이,KOSDAQ,중견기업부,34450,-550,-1.57,34800,34900,34200,24915,859,408976,11871586
58820,CMG제약,KOSDAQ,중견기업부,2315,-40,-1.7,2360,2360,2305,190458,442,321536,138892244
23460,CNH,KOSDAQ,중견기업부,2510,-25,-0.99,2535,2535,2490,6891,17,93372,37200000
56730,CNT85,KOSDAQ,관리종목(소속부없음),3100,0,0,0,0,0,0,0,110512,35648956
65770,CS,KOSDAQ,벤처기업부,1657,-6,-0.36,1672,1672,1646,9103,15,32164,19411130
83660,CSA 코스믹,KOSDAQ,중견기업부,1055,-14,-1.31,1063,1063,1046,11495,12,41621,39451193
590,CS홀딩스,KOSPI,,64400,0,0,64400,64400,63700,391,25,74349,1154482
12030,DB,KOSPI,,952,8,0.85,942,955,932,257644,244,191518,201173933
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2045,0,0,2040,2045,2030,112,0,11943,5840000
367340,DB금융스팩8호,KOSDAQ,SPAC(소속부없음),2020,-10,-0.49,2020,2020,2020,7000,14,12221,6050000
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),2065,0,0,2065,2065,2065,11232,23,9995,4840000
16610,DB금융투자,KOSPI,,4465,-125,-2.72,4580,4580,4440,35130,157,189523,42446389
5830,DB손해보험,KOSPI,,65000,200,0.31,64300,65100,63600,33332,2146,4602000,70800000
990,DB하이텍,KOSPI,,45400,-800,-1.73,45650,45750,45200,136939,6225,2015696,44398588
995,DB하이텍1우,KOSPI,,85000,800,0.95,84200,85000,84200,114,10,9547,112316
139130,DGB금융지주,KOSPI,,7560,-70,-0.92,7630,7630,7490,110812,836,1278742,169145833
1530,DI동일,KOSPI,,17300,-250,-1.42,17800,18110,17220,92757,1645,442331,25568270
210,DL,KOSPI,,58300,-500,-0.85,58500,58900,57600,27031,1572,1221728,20955884
1880,DL건설,KOSPI,,14850,190,1.3,14800,14910,14550,10336,152,327491,22053284
215,DL우,KOSPI,,34500,-50,-0.14,34150,34550,34100,377,13,58171,1686115
375500,DL이앤씨,KOSPI,,35800,-1500,-4.02,37200,37300,35600,103483,3727,1385232,38693623
37550L,DL이앤씨2우(전환),KOSPI,,26350,-450,-1.68,26800,26800,26350,391,10,55650,2111951
37550K,DL이앤씨우,KOSPI,,23100,-300,-1.28,23400,23400,23050,517,12,48831,2113885
68790,DMS,KOSDAQ,우량기업부,6640,-60,-0.9,6730,6740,6600,25669,171,163165,24573061
7340,DN오토모티브,KOSPI,,64300,-300,-0.46,64900,64900,63600,4864,311,642615,9994005
4840,DRB동일,KOSPI,,4390,10,0.23,4315,4400,4255,6848,30,87493,19930000
241520,DSC인베스트먼트,KOSDAQ,벤처기업부,4120,-90,-2.14,4150,4180,4090,150576,622,114583,27811403
155660,DSR,KOSPI,,6190,80,1.31,6110,6480,6110,120821,758,99040,16000000
69730,DSR제강,KOSPI,,5830,270,4.86,5670,6230,5670,1135101,6792,83952,14400000
180400,DXVX,KOSDAQ,관리종목(소속부없음),7740,0,0,0,0,0,0,0,222083,28692885
17940,E1,KOSPI,,47300,-750,-1.56,48050,48050,47250,2229,106,324478,6860000
245620,EDGC,KOSDAQ,기술성장기업부,1906,-7,-0.37,1910,1913,1878,102419,194,160249,84075931
37370,EG,KOSDAQ,중견기업부,9290,240,2.65,9110,9540,9070,220645,2066,80126,8624972
278990,EMB,KONEX,일반기업부,3395,0,0,0,0,0,0,0,12318,3628222
365550,ESR켄달스퀘어리츠,KOSPI,,4195,-75,-1.76,4275,4275,4150,50011,210,893908,213089000
50120,ES큐브,KOSDAQ,중견기업부,4570,60,1.33,4510,4605,4465,44488,201,61988,13564086
383220,F&F,KOSPI,,151300,-1200,-0.79,151600,152400,149200,33826,5099,5795860,38307075
7700,F&F홀딩스,KOSPI,,29700,700,2.41,29000,29700,28700,77239,2259,1161697,39114367
214270,FSN,KOSDAQ,중견기업부,4990,-170,-3.29,5110,5230,4980,946021,4870,165920,33250463
130500,GH신소재,KOSDAQ,중견기업부,4060,-50,-1.22,4100,4110,4040,20525,83,59053,14545052
114090,GKL,KOSPI,,19980,200,1.01,19630,20100,19130,214628,4219,1235876,61855670
900290,GRT,KOSDAQ,외국기업(소속부없음),2640,-15,-0.56,2660,2660,2600,10830,28,177870,67375000
78930,GS,KOSPI,,42950,-200,-0.46,42750,43200,42450,40037,1714,3990715,92915378
83450,GST,KOSDAQ,우량기업부,22400,-500,-2.18,22850,22850,22200,23047,515,208717,9317745
6360,GS건설,KOSPI,,22550,-350,-1.53,22900,22950,22200,308066,6920,1929863,85581490
1250,GS글로벌,KOSPI,,2440,-15,-0.61,2440,2460,2415,139533,339,201382,82533764
7070,GS리테일,KOSPI,,27850,-450,-1.59,28200,28250,27700,46675,1302,2916394,104717922
78935,GS우,KOSPI,,34500,-100,-0.29,34600,34650,34500,505,17,61576,1784826
297890,HB솔루션,KOSDAQ,벤처기업부,12730,-250,-1.93,12850,12980,12720,21770,279,212847,16720093
78150,HB테크놀러지,KOSDAQ,우량기업부,1893,-37,-1.92,1930,1930,1890,167845,319,149529,78990426
12630,HDC,KOSPI,,5970,-80,-1.32,6040,6040,5930,25287,151,356658,59741721
39570,HDC랩스,KOSPI,,7950,-60,-0.75,8150,8150,7950,859,7,206363,25957601
89470,HDC현대EP,KOSPI,,4185,0,0,4170,4200,4165,4647,19,133502,31900000
294870,HDC현대산업개발,KOSPI,,10890,-170,-1.54,11000,11000,10770,103799,1127,717731,65907330
267250,HD현대,KOSPI,,60600,400,0.66,60300,61100,59400,52213,3149,4786981,78993085
97230,HJ중공업,KOSPI,,4040,-15,-0.37,4100,4100,4005,18980,77,336428,83274281
195940,HK이노엔,KOSDAQ GLOBAL,벤처기업부,39500,-300,-0.75,39650,39700,39150,34315,1353,1141728,28904499
14790,HL D&I,KOSPI,,2830,-20,-0.7,2840,2875,2825,15215,43,107140,37858601
28300,HLB,KOSDAQ,중견기업부,30950,-1050,-3.28,31950,31950,30850,286237,8919,3604619,116465889
3580,HLB글로벌,KOSPI,,5990,-90,-1.48,6080,6080,5970,62861,377,253779,42367042
343090,HLB사이언스,KONEX,일반기업부,2895,35,1.22,2980,2980,2750,394,1,33470,11561163
67630,HLB생명과학,KOSDAQ,중견기업부,11510,-290,-2.46,11660,11800,11410,166522,1920,1113209,96716638
47920,HLB제약,KOSDAQ,기술성장기업부,13270,-290,-2.14,13550,13560,13230,125925,1676,369850,27871150
115450,HLB테라퓨틱스,KOSDAQ,중견기업부,12610,-180,-1.41,12900,12910,12500,63012,796,430839,34166461
204320,HL만도,KOSPI,,45400,50,0.11,45150,45650,44850,46949,2124,2131853,46957120
60980,HL홀딩스,KOSPI,,30900,250,0.82,30700,31150,30700,11321,350,323587,10472070
11200,HMM,KOSPI,,22150,-450,-1.99,22600,22600,21950,511920,11324,1.08E+07,489039496
403870,HPSP,KOSDAQ,중견기업부,58900,-1400,-2.32,59600,59600,58600,32966,1944,1195066,20289750
36640,HRS,KOSDAQ,우량기업부,5610,0,0,5610,5640,5530,40156,224,91750,16354800
82740,HSD엔진,KOSPI,,7610,30,0.4,7580,7630,7400,119774,902,544450,71543994
351340,IBKS제13호스팩,KOSDAQ,관리종목(소속부없음),2020,5,0.25,2020,2020,2020,4201,8,10443,5170000
388790,IBKS제16호스팩,KOSDAQ,SPAC(소속부없음),2475,-5,-0.2,2445,2520,2440,76209,189,8440,3410000
405350,IBKS제17호스팩,KOSDAQ,SPAC(소속부없음),2375,0,0,0,0,0,0,0,6460,2720000
424760,IBKS제18호스팩,KOSDAQ,SPAC(소속부없음),2825,-35,-1.22,2870,2880,2740,7154,20,11950,4230000
426550,IBKS제19호스팩,KOSDAQ,SPAC(소속부없음),2150,0,0,2140,2150,2140,2313,5,10922,5080000
439730,IBKS제20호스팩,KOSDAQ,SPAC(소속부없음),2150,-5,-0.23,2155,2155,2140,3808,8,9267,4310000
442770,IBKS제21호스팩,KOSDAQ,SPAC(소속부없음),2140,0,0,2150,2150,2140,118,0,9009,4210000
3560,IHQ,KOSPI,,405,-4,-0.98,410,410,403,296911,120,94809,234095648
95340,ISC,KOSDAQ,우량기업부,35450,-950,-2.61,36100,36100,35450,48620,1732,616811,17399471
99520,ITX-AI,KOSDAQ,관리종목(소속부없음),2570,0,0,0,0,0,0,0,63350,24649867
175330,JB금융지주,KOSPI,,9540,190,2.03,9380,9690,9250,443695,4210,1879217,196982894
950170,JTC,KOSDAQ,관리종목(소속부없음),4385,285,6.95,4110,4450,4050,232133,994,219658,50093024
234080,JW생명과학,KOSPI,,12210,-130,-1.05,12400,12400,12120,3208,39,193340,15834554
67290,JW신약,KOSDAQ,중견기업부,3480,-15,-0.43,3495,3500,3410,77566,267,168527,48427177
1060,JW중외제약,KOSPI,,21050,50,0.24,21050,21100,20750,21029,439,466849,22178081
1067,JW중외제약2우B,KOSPI,,61300,-700,-1.13,61300,61300,61300,6,0,12260,200000
1065,JW중외제약우,KOSPI,,32900,450,1.39,32900,32900,32900,10,0,10714,325655
96760,JW홀딩스,KOSPI,,3040,-10,-0.33,3095,3095,3035,2113,6,214152,70444706
35900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,72200,-600,-0.82,72800,73100,71900,94966,6882,2562919,35497492
318000,KBG,KOSDAQ,벤처기업부,6880,20,0.29,6860,7030,6760,83843,581,56621,8229825
24840,KBI메탈,KOSDAQ,중견기업부,1433,16,1.13,1437,1450,1411,105761,151,47219,32950848
105560,KB금융,KOSPI,,55700,-1200,-2.11,56400,56500,55000,413352,22948,2.28E+07,408897068
432320,KB스타리츠,KOSPI,,4620,-15,-0.32,4580,4635,4580,8819,41,468534,101414285
24120,KB오토시스,KOSDAQ,우량기업부,4405,-105,-2.33,4505,4510,4375,27658,123,50658,11500000
2380,KCC,KOSPI,,241000,3500,1.47,237500,241500,234000,13220,3150,2141640,8886471
21320,KCC건설,KOSDAQ,우량기업부,7000,-100,-1.41,7110,7120,6980,33641,237,149800,21400000
344820,KCC글라스,KOSPI,,38850,-350,-0.89,39200,39300,38600,9446,366,620454,15970512
36670,KCI,KOSDAQ,우량기업부,8990,30,0.33,9000,9030,8940,8913,80,101317,11270000
9070,KCTC,KOSPI,,4765,15,0.32,4750,4775,4715,17186,81,142950,30000000
9440,KC그린홀딩스,KOSPI,,3155,-25,-0.79,3230,3230,3145,7939,25,70782,22434980
112190,KC산업,KONEX,일반기업부,2300,-20,-0.86,2215,2300,2205,1420,3,16388,7125253
119650,KC코트렐,KOSPI,,1939,9,0.47,1940,1961,1909,224937,435,67090,34600456
44180,KD,KOSDAQ,중견기업부,768,6,0.79,762,768,759,19677,15,19084,24848641
92220,KEC,KOSPI,,2115,-15,-0.7,2115,2125,2090,180279,380,306174,144763141
151860,KG ETS,KOSDAQ,우량기업부,12180,410,3.48,11910,12530,11820,1637875,20174,438480,36000000
46440,KG모빌리언스,KOSDAQ,우량기업부,7540,1120,17.45,7570,8150,7460,7194435,55983,292745,38825568
16380,KG스틸,KOSPI,,8530,70,0.83,8620,8740,8530,395758,3408,853076,100008897
35600,KG이니시스,KOSDAQ,우량기업부,13790,130,0.95,14350,14470,13670,1164251,16480,384802,27904434
1390,KG케미칼,KOSPI,,24450,350,1.45,24500,24750,24200,64553,1581,339026,13866096
226360,KH 건설,KOSDAQ,벤처기업부,449,-8,-1.75,457,457,442,1312247,587,55506,123620531
111870,KH 전자,KOSDAQ,중견기업부,288,-14,-4.64,302,302,285,2910708,843,46068,159959822
33180,KH 필룩스,KOSPI,,766,-65,-7.82,795,818,760,5995209,4660,133036,173676398
60720,KH바텍,KOSDAQ,중견기업부,15240,-140,-0.91,15350,15380,15200,37549,573,360844,23677442
1940,KISCO홀딩스,KOSPI,,17050,-170,-0.99,17220,17260,16980,5009,85,275807,16176380
58400,KNN,KOSDAQ,우량기업부,939,6,0.64,933,945,932,226656,213,124352,132429720
114450,KPX생명과학,KOSDAQ,중견기업부,4705,-80,-1.67,4745,4785,4705,76482,361,70575,15000000
25000,KPX케미칼,KOSPI,,49500,-150,-0.3,49650,49650,49450,412,20,239580,4840000
92230,KPX홀딩스,KOSPI,,55400,-500,-0.89,55500,56500,55200,180,10,234045,4224646
40,KR모터스,KOSPI,,540,0,0,540,541,534,36228,19,51915,96138465
44450,KSS해운,KOSPI,,9190,-30,-0.33,9290,9290,9160,2184,20,212159,23085880
30200,KT,KOSPI,,34050,-250,-0.73,34150,34500,33850,250579,8533,8890857,261111808
33780,KT&G,KOSPI,,91700,-1100,-1.19,92600,92600,91100,64827,5935,1.26E+07,137292497
58850,KTcs,KOSPI,,3945,-70,-1.74,4000,4070,3935,801191,3206,168392,42685000
58860,KTis,KOSPI,,3470,-10,-0.29,3480,3565,3430,807399,2823,120763,34802000
60370,KT서브마린,KOSDAQ,중견기업부,5650,-40,-0.7,5670,5670,5610,24587,139,146551,25938232
122450,KX,KOSDAQ,중견기업부,5940,0,0,5970,5970,5840,20016,118,269296,45335964
52900,KX하이텍,KOSDAQ,벤처기업부,1344,-18,-1.32,1362,1362,1323,94190,126,74065,55107517
93050,LF,KOSPI,,16930,-90,-0.53,17020,17020,16920,3498,59,495033,29240000
3550,LG,KOSPI,,80700,-1000,-1.22,80800,81700,79800,57822,4649,1.27E+07,157300993
34220,LG디스플레이,KOSPI,,13930,-210,-1.49,14070,14070,13900,276636,3864,4984373,357815700
51900,LG생활건강,KOSPI,,699000,6000,0.87,690000,701000,687000,24022,16659,1.09E+07,15618197
51905,LG생활건강우,KOSPI,,297500,0,0,297000,298000,294500,1445,428,624660,2099697
373220,LG에너지솔루션,KOSPI,,527000,-8000,-1.5,530000,532000,521000,130035,68549,1.23E+08,234000000
3555,LG우,KOSPI,,59800,-300,-0.5,60000,60000,59700,365,22,180693,3021620
32640,LG유플러스,KOSPI,,10970,-120,-1.08,10990,11000,10820,759716,8293,4789627,436611361
11070,LG이노텍,KOSPI,,283000,3000,1.07,281000,285000,278000,82064,23112,6697791,23667107
66570,LG전자,KOSPI,,101800,1000,0.99,100900,102200,100000,213855,21629,1.67E+07,163647814
66575,LG전자우,KOSPI,,45100,50,0.11,44350,45250,44350,14972,670,775088,17185992
37560,LG헬로비전,KOSPI,,4555,-65,-1.41,4590,4600,4545,60555,276,352770,77446865
51910,LG화학,KOSPI,,665000,-9000,-1.34,665000,670000,661000,54815,36459,4.69E+07,70592343
51915,LG화학우,KOSPI,,294000,-4500,-1.51,298000,298500,293500,5948,1751,2260507,7688800
79550,LIG넥스원,KOSPI,,82000,900,1.11,80800,82800,80000,95413,7783,1804000,22000000
6260,LS,KOSPI,,66600,200,0.3,66400,67200,65600,23877,1584,2144520,32200000
10120,LS ELECTRIC,KOSPI,,49000,-400,-0.81,49100,49250,48700,29817,1461,1470000,30000000
680,LS네트웍스,KOSPI,,2590,0,0,2595,2600,2580,2145,6,204100,78803016
229640,LS전선아시아,KOSPI,,7300,10,0.14,7290,7330,7240,19358,141,223562,30624879
108320,LX세미콘,KOSPI,,86400,6000,7.46,82700,87500,82300,354016,29948,1405236,16264300
1120,LX인터내셔널,KOSPI,,34500,-50,-0.14,34100,34700,33900,77483,2655,1337220,38760000
108670,LX하우시스,KOSPI,,36450,-550,-1.49,36900,36900,36250,19093,695,326872,8967670
108675,LX하우시스우,KOSPI,,17940,-170,-0.94,18110,18110,17940,99,2,18520,1032330
383800,LX홀딩스,KOSPI,,8800,-60,-0.68,8800,8830,8770,35701,314,671270,76280690
38380K,LX홀딩스1우,KOSPI,,11870,110,0.94,11930,11930,11760,967,11,17393,1465285
86960,MDS테크,KOSDAQ,중견기업부,1807,73,4.21,1742,1809,1700,5152480,9084,149849,82926896
23150,MH에탄올,KOSPI,,7740,-60,-0.77,7840,7840,7720,1109,9,57110,7378526
38340,MIT,KOSDAQ,투자주의환기종목(소속부없음),2040,0,0,0,0,0,0,0,25978,12734298
35420,NAVER,KOSPI,,221500,-2000,-0.89,221000,224500,218000,627041,138784,3.63E+07,164049085
160550,NEW,KOSDAQ,중견기업부,8930,30,0.34,8990,9060,8850,169292,1515,249202,27906106
53290,NE능률,KOSDAQ,중견기업부,5260,-40,-0.75,5340,5350,5210,123573,649,86928,16526307
181710,NHN,KOSPI,,29050,-550,-1.86,29800,30000,29050,37657,1114,1046300,36017198
104200,NHN벅스,KOSDAQ,중견기업부,8030,-270,-3.25,8360,8380,7940,222625,1810,119065,14827550
60250,NHN한국사이버결제,KOSDAQ GLOBAL,우량기업부,14670,-190,-1.28,15150,15160,14580,460881,6855,589156,40160611
400760,NH올원리츠,KOSPI,,3705,-50,-1.33,3745,3750,3700,21090,78,156351,42200000
5940,NH투자증권,KOSPI,,9400,-50,-0.53,9440,9450,9260,153069,1430,3117660,331665921
5945,NH투자증권우,KOSPI,,8970,-40,-0.44,8960,8990,8950,8262,74,169273,18870968
338100,NH프라임리츠,KOSPI,,4420,-50,-1.12,4480,4480,4410,1108,5,82477,18660000
34310,NICE,KOSPI,,14620,390,2.74,14490,14750,14280,51395,744,553839,37882300
30190,NICE평가정보,KOSDAQ GLOBAL,우량기업부,13080,-340,-2.53,13240,13240,12960,56059,733,794150,60714820
8260,NI스틸,KOSPI,,5510,90,1.66,5370,5580,5360,173015,952,157587,28600117
4250,NPC,KOSPI,,6700,30,0.45,6670,6750,6630,66245,443,246024,36720000
4255,NPC우,KOSPI,,3440,0,0,3415,3460,3405,5912,20,18163,5280000
10060,OCI,KOSPI,,93100,-900,-0.96,93900,94100,91600,147783,13699,2220376,23849371
178920,PI첨단소재,KOSPI,,33900,-600,-1.74,34350,34350,33850,26610,904,995518,29366322
24940,PN풍년,KOSDAQ,벤처기업부,8080,-250,-3,8250,8290,8050,72379,586,80800,10000000
5490,POSCO홀딩스,KOSPI,,301000,-2000,-0.66,300000,302500,298500,131804,39597,2.55E+07,84571230
218410,RFHIC,KOSDAQ,우량기업부,24200,-300,-1.22,24350,24550,23950,56670,1369,648232,26786434
327260,RF머트리얼즈,KOSDAQ,벤처기업부,14330,330,2.36,14000,14350,13600,27485,384,117473,8197697
91340,S&K폴리텍,KOSDAQ,중견기업부,4100,-90,-2.15,4250,4250,4000,9227,38,47985,11703721
10950,S-Oil,KOSPI,,86000,-900,-1.04,86600,86900,85300,106202,9150,9682120,112582792
10955,S-Oil우,KOSPI,,52500,-1100,-2.05,53800,53800,52500,6040,319,211151,4021927
419530,SAMG엔터,KOSDAQ,기술성장기업부,48200,1800,3.88,45900,48950,43150,856044,40025,414083,8590930
19550,SBI인베스트먼트,KOSDAQ,벤처기업부,1190,-21,-1.73,1220,1220,1185,254638,304,192859,162066575
950110,SBI핀테크솔루션즈,KOSDAQ,외국기업(소속부없음),4080,-70,-1.69,4180,4180,4070,4319,18,98134,24052540
34120,SBS,KOSPI,,34700,1100,3.27,33350,34850,33300,59395,2040,633365,18252582
46140,SBS콘텐츠허브,KOSDAQ,우량기업부,7280,130,1.82,7100,7310,7100,236045,1704,156255,21463555
151910,SBW생명과학,KOSDAQ,중견기업부,793,-23,-2.82,816,816,788,394245,314,140467,177134118
36120,SCI평가정보,KOSDAQ,중견기업부,3820,-55,-1.42,3885,3920,3800,285401,1101,135610,35500000
99220,SDN,KOSDAQ,중견기업부,1893,-37,-1.92,1935,1935,1880,261172,496,106333,56171811
36540,SFA반도체,KOSDAQ,우량기업부,4360,-85,-1.91,4415,4415,4335,188052,820,717047,164460303
255220,SG,KOSDAQ,중견기업부,1253,-10,-0.79,1262,1262,1241,61187,77,56080,44756689
40610,SG&G,KOSDAQ,중견기업부,1784,-14,-0.78,1797,1797,1755,52574,93,60812,34087196
49470,SGA,KOSDAQ,중견기업부,885,4,0.45,881,910,880,63405,56,52093,58862249
184230,SGA솔루션즈,KOSDAQ,벤처기업부,1007,-32,-3.08,1042,1047,1006,276653,284,54567,54187224
5090,SGC에너지,KOSPI,,31750,200,0.63,31550,31850,31100,13413,423,465995,14677004
16250,SGC이테크건설,KOSDAQ,우량기업부,30300,-500,-1.62,30800,30800,30150,955,29,78763,2599445
1380,SG글로벌,KOSPI,,1648,-1,-0.06,1653,1653,1633,28614,47,74101,44964143
4060,SG세계물산,KOSPI,,573,0,0,575,582,569,165253,95,115990,202424960
1770,SHD,KOSPI,,37600,-550,-1.44,38150,38150,37550,2656,100,45679,1214878
2360,SH에너지화학,KOSPI,,890,-6,-0.67,896,896,886,136422,121,98909,111133730
9160,SIMPAC,KOSPI,,5220,-10,-0.19,5230,5290,5170,16596,87,341542,65429516
123700,SJM,KOSPI,,4530,-15,-0.33,4540,4550,4445,4551,20,70690,15604898
25530,SJM홀딩스,KOSPI,,3675,-45,-1.21,3720,3720,3625,16867,62,54882,14934008
34730,SK,KOSPI,,199000,-1500,-0.75,199500,199500,196900,35629,7053,1.48E+07,74149329
11790,SKC,KOSPI,,98400,200,0.2,97200,98900,96900,39957,3914,3726241,37868298
18670,SK가스,KOSPI,,118700,-1500,-1.25,120000,120000,118100,2767,328,1095630,9230244
1740,SK네트웍스,KOSPI,,4075,-40,-0.97,4080,4085,4040,134690,547,1011365,248187647
1745,SK네트웍스우,KOSPI,,50200,-700,-1.38,50700,50700,50000,324,16,5705,113648
6120,SK디스커버리,KOSPI,,31650,-350,-1.09,31900,31900,31450,10632,337,602548,19037855
6125,SK디스커버리우,KOSPI,,28450,-50,-0.18,28450,28550,28350,542,15,38648,1358455
210980,SK디앤디,KOSPI,,21550,-300,-1.37,21900,21900,21550,5652,122,478198,22190164
68400,SK렌터카,KOSPI,,7210,-10,-0.14,7260,7260,7180,9695,70,340931,47285840
395400,SK리츠,KOSPI,,5380,-70,-1.28,5390,5430,5350,26433,142,1057461,196554079
302440,SK바이오사이언스,KOSPI,,78000,-900,-1.14,78800,78800,77200,58466,4542,5989156,76784046
326030,SK바이오팜,KOSPI,,71800,-500,-0.69,71700,72300,70900,24970,1783,5622891,78313250
402340,SK스퀘어,KOSPI,,36150,-450,-1.23,36550,36550,35900,74343,2685,5114053,141467571
260870,SK시그넷,KONEX,일반기업부,40000,0,0,40500,40500,39950,949,38,236812,5920310
361610,SK아이이테크놀로지,KOSPI,,72900,800,1.11,72100,73900,71300,209652,15270,5197594,71297592
03473K,SK우,KOSPI,,172400,-300,-0.17,173400,173800,171700,266,46,97602,566135
96770,SK이노베이션,KOSPI,,170700,-1300,-0.76,170300,172800,168500,127063,21698,1.58E+07,92465564
96775,SK이노베이션우,KOSPI,,102600,0,0,102900,102900,101100,735,75,128089,1248426
1510,SK증권,KOSPI,,850,-38,-4.28,912,924,841,27746870,24369,401702,472590171
1515,SK증권우,KOSPI,,2985,-110,-3.55,3135,3135,2970,17454,52,11679,3912514
285130,SK케미칼,KOSPI,,86200,700,0.82,85300,86400,84400,15800,1353,1487276,17253783
28513K,SK케미칼우,KOSPI,,40350,100,0.25,40250,40350,39950,1125,45,85358,2115429
17670,SK텔레콤,KOSPI,,46400,50,0.11,46350,46500,46150,191550,8872,1.02E+07,218833144
660,SK하이닉스,KOSPI,,90600,-1600,-1.74,91400,92000,90600,632772,57678,6.60E+07,728002365
48550,SM C&C,KOSDAQ,중견기업부,3210,-100,-3.02,3275,3305,3210,391719,1268,306957,95625120
63440,SM Life Design,KOSDAQ,중견기업부,2480,-90,-3.5,2550,2550,2465,613252,1532,114152,46029154
64960,SNT모티브,KOSPI,,47150,400,0.86,46950,47150,46400,7251,339,689481,14623136
100840,SNT에너지,KOSPI,,20100,0,0,19850,20100,19850,9505,190,150885,7506711
3570,SNT중공업,KOSPI,,10530,-430,-3.92,10960,10960,10480,108561,1150,350151,33252697
36530,SNT홀딩스,KOSPI,,16070,20,0.12,16050,16100,16000,2059,33,262003,16303886
5610,SPC삼립,KOSPI,,72200,-300,-0.41,72500,72800,72000,1919,139,623014,8629009
11810,STX,KOSPI,,5310,10,0.19,5280,5360,5250,79462,422,151980,28621454
77970,STX엔진,KOSPI,,13840,-120,-0.86,13810,13900,13790,9909,137,318443,23008904
71970,STX중공업,KOSPI,,7360,80,1.1,7250,7480,7170,156002,1145,210148,28552669
2820,SUN&L,KOSPI,,3400,0,0,3400,3405,3400,1671,6,42867,12607989
289080,SV인베스트먼트,KOSDAQ,벤처기업부,2260,-30,-1.31,2285,2285,2220,110175,248,120309,53234000
84870,TBH글로벌,KOSPI,,1798,-4,-0.22,1820,1820,1761,62360,111,37501,20856819
2710,TCC스틸,KOSPI,,11730,350,3.08,11370,11760,11250,304638,3540,297778,25386019
89230,THE E&M,KOSDAQ,중견기업부,377,3,0.8,374,379,368,308062,116,68471,181621094
161570,THE MIDONG,KOSDAQ,중견기업부,1161,-20,-1.69,1181,1182,1160,23451,28,18092,15582830
32540,TJ미디어,KOSDAQ,중견기업부,6920,-60,-0.86,6980,7010,6910,12191,85,96407,13931609
22220,TKG애강,KOSDAQ,우량기업부,1488,-13,-0.87,1490,1494,1481,86658,129,77070,51794579
69260,TKG휴켐스,KOSPI,,19830,300,1.54,19600,19960,19480,75527,1491,810622,40878588
48770,TPC,KOSDAQ,벤처기업부,3795,-40,-1.04,3835,3835,3760,63890,242,59574,15697991
246690,TS인베스트먼트,KOSDAQ,벤처기업부,1844,15,0.82,1829,1846,1820,50242,92,72369,39245879
